Date,Website country,User Country,Device Category,Site visits,Bookings,Booking Tool visits
2022-09-09,DE,DE,mobile,2042,30,1220
2022-09-27,DE,DE,mobile,1998,45,1316
2022-08-26,IT,IT,desktop,1992,114,1394
2022-09-21,DE,DE,mobile,1986,41,1323
2022-09-26,DE,DE,mobile,1985,31,1285
2022-09-14,NL,US,mobile,1982,38,1036
2022-09-18,NO,NO,desktop,1973,181,1479
2022-08-28,NO,NO,mobile,1962,43,1367
2022-09-11,NO,NO,desktop,1960,194,1451
2022-09-24,DE,DE,mobile,1949,31,1253
2022-09-26,NL,US,mobile,1944,21,972
2022-09-02,NL,US,mobile,1930,30,882
2022-09-01,IT,IT,mobile,1899,27,1363
2022-09-04,IT,IT,mobile,1888,26,1382
2022-09-23,NL,US,mobile,1882,23,829
2022-09-05,IT,IT,mobile,1867,26,1294
2022-09-07,NL,US,mobile,1863,18,992
2022-09-25,NO,NO,mobile,1835,36,1231
2022-09-22,NL,US,mobile,1830,29,960
2022-08-31,IT,IT,mobile,1822,19,1293
2022-09-27,NL,US,mobile,1815,31,895
2022-09-29,NL,US,mobile,1811,21,849
2022-09-04,NO,NO,mobile,1808,34,1268
2022-09-06,IT,IT,mobile,1785,19,1295
2022-09-22,DE,DE,mobile,1775,31,1132
2022-09-02,IT,IT,mobile,1761,21,1252
2022-08-28,IT,IT,mobile,1741,21,1265
2022-09-23,DE,DE,mobile,1734,31,1089
2022-08-30,IT,IT,mobile,1733,27,1184
2022-08-22,IT,IT,mobile,1717,24,1162
2022-09-11,NO,NO,mobile,1716,41,1135
2022-09-18,NO,NO,mobile,1715,34,1161
2022-09-07,IT,IT,mobile,1713,19,1227
2022-08-27,IT,IT,mobile,1702,25,1173
2022-09-28,NL,US,mobile,1679,31,842
2022-08-23,IT,IT,mobile,1670,21,1161
2022-09-24,NL,US,mobile,1659,20,750
2022-09-11,IT,IT,mobile,1655,30,1193
2022-08-24,IT,IT,mobile,1645,28,1139
2022-08-25,IT,IT,mobile,1637,19,1129
2022-09-03,IT,IT,mobile,1630,14,1193
2022-08-29,IT,IT,mobile,1621,20,1137
2022-08-22,NO,NO,mobile,1618,26,1090
2022-09-06,NO,NO,mobile,1581,37,1064
2022-08-24,NO,NO,mobile,1578,28,1049
2022-09-08,IT,IT,mobile,1568,13,1099
